NAME,NODE_TYPE,EQUIP,COST,ADAPT_LS,ADAPT_T1,ADAPT_T3,UTIL
CC,E,SMALL,10,1,0,0,0.0648
PORT,N,SMALL,10,1,0,0,0.01
BOUR44,N,SMALL,10,3,0,0,0.0216
SHEF235,N,SMALL,10,1,0,0,0.01
BIRM308,N,SMALL,10,3,0,0,0.0516
DIDS354,N,SMALL,10,2,0,0,0.0316
Midd1030,N,SMALL,10,2,0,0,0.0616
MOOR2,C,SMALL,10,2,0,0,0.0632
BIRM4,E,SMALL,10,1,0,0,0.0016
BRIG5,N,SMALL,10,2,0,0,0.0648
EDGEID,END0,END1,SERVICE,LINE_SPD,MULT,CAPACITY,MONTHCST,LENGTH,BPS01,BPS10,UTIL01,UTIL10,HOPS,COS01,COS10
LINK0,CC,BRIG5,F512,512000,1,512000,1055,77,259200,259200,0.50625,0.50625,1,100,100
LINK1,PORT,BIRM308,F128,128000,1,128000,603,87,40000,40000,0.3125,0.3125,1,100,100
LINK2,BOUR44,DIDS354,F256,256000,1,256000,852,113,86400,86400,0.3375,0.3375,1,100,100
LINK3,SHEF235,BOUR44,F128,128000,1,128000,513,27,40000,40000,0.3125,0.3125,1,100,100
LINK4,BIRM308,Midd1030,F512,512000,1,512000,1367,129,206400,206400,0.403125,0.403125,1,100,100
LINK5,DIDS354,BIRM308,F256,256000,1,256000,900,129,126400,126400,0.49375,0.49375,1,100,100
LINK6,Midd1030,MOOR2,F512,512000,1,512000,1331,123,246400,246400,0.48125,0.48125,1,100,100
LINK7,BIRM4,BOUR44,D64,64000,1,64000,208,4,6400,6400,0.1,0.1,1,100,100
LINK8,BRIG5,MOOR2,F512,512000,1,512000,2543,325,252800,252800,0.49375,0.49375,1,100,100
